text,sentiment_label
Aku sering tiba-tiba nangis tanpa alasan sejak hamil.,0
Akhirnya bisa tidur lebih nyenyak setelah rutin konsultasi dengan bidan.,1
Aku merasa sendirian karena suami jarang diajak ngobrol soal kehamilan.,0
"Terima kasih konten ini, jadi merasa lebih dimengerti sebagai ibu hamil.",1
Aku takut nggak jadi ibu yang baik karena sering cemas dan overthinking.,0
"Setelah ikut kelas online tentang mental health ibu hamil, aku jadi lebih tenang.",1
Komentar orang yang nyuruh sabar terus malah bikin aku makin tertekan.,0
Dukungan dari keluarga bikin aku merasa lebih kuat menghadapi trimester ini.,1
Aku malu cerita ke orang soal kecemasan dan pikiran negatif selama hamil.,0
Latihan napas dan journaling setiap malam membantu banget menurunkan stres.,1
"Dokter cuma fokus ke fisik, padahal mental aku lagi benar-benar drop.",0
"Suami sekarang lebih perhatian dan sering nanya kabarku, rasanya lega banget.",1
"Aku sering kepikiran hal buruk tentang bayi, dan itu bikin aku merasa bersalah.",0
Grup support ibu hamil di Telegram bikin aku merasa tidak sendirian lagi.,1
"Aku susah tidur, gampang marah, dan capek banget secara emosional.",0
Rajin jalan pagi dan olahraga ringan bikin mood aku jauh lebih stabil.,1
Komentar body shaming soal berat badan saat hamil bikin kepercayaan diri runtuh.,0
"Psikolog menjelaskan kalau perasaanku valid, dan itu sangat menenangkan.",1
"Aku nggak punya tempat aman buat cerita, semua orang cuma bilang aku lebay.",0
"Setelah belajar teknik grounding, aku lebih bisa mengontrol rasa panik.",1
